ticket_id,subject,topic_tag,sentiment,priority,status,topic_reasoning,sentiment_reasoning,priority_reasoning
TICKET-265,How to programmatically create an asset using the REST API?,API/SDK,Frustrated,P1,success,The ticket explicitly asks for help with the REST API and provides code examples.,"The user mentions 'requests keep failing' and 'API documentation is a bit sparse', indicating frustration.","While not blocking, the user needs assistance to complete a task, making it a medium priority."
TICKET-266,SDK availability and Python example,API/SDK,Curious,P2,success,"The user is specifically asking about SDK availability and Python examples, indicating a technical question related to APIs or SDKs.","The user's tone is polite and inquisitive, seeking information rather than expressing frustration or anger.","The request is for information and guidance, not an urgent issue blocking work or requiring immediate attention."
TICKET-267,How do webhooks work in Atlan?,API/SDK,Curious,P2,success,"The ticket focuses on understanding how webhooks work in Atlan, specifically regarding event triggers and payload validation, which are technical aspects related to the API.","The user is asking exploratory questions about webhook functionality, indicating a desire to learn and understand.",The ticket doesn't express any urgency or indicate a blocking issue. It's a general inquiry about a feature.
TICKET-268,Triggering an AWS Lambda from Atlan events,API/SDK,Curious,P1,success,"The ticket asks about integrating Atlan with an external AWS Lambda function, implying a need for API/SDK knowledge.","The user is seeking information and guidance on the best approach, indicating a curious tone.","While not urgent, integrating with external systems is important for many users and requires technical support."
TICKET-269,When to use Atlan automations vs. external services?,Best practices,Curious,P2,success,"The user is seeking guidance on when to use Atlan's native automations versus external tools, indicating a question about recommended approaches.","The user's tone is inquisitive and seeking information, not expressing frustration, anger, or concern.","The question is about best practices and workflow decisions, not a critical issue blocking work or requiring immediate attention."
TICKET-270,Connector failed to crawl - where to check logs?,Connector,Frustrated,P0,success,The ticket explicitly mentions a failed connector (Snowflake crawler) and seeks logs related to the connector.,"The user uses urgent language ('URGENT'), highlights the critical impact of the failure, and expresses a need to fix it ASAP, indicating frustration.","The user states the failure is critical, impacting morning reports and lineage information, making it a high priority issue."
TICKET-271,Asset extracted but not published to Atlan,Product,Frustrated,P1,success,"The user is reporting an issue with an asset not appearing in the Atlan UI after successful extraction, indicating a problem with the core product functionality.","The user expresses confusion and frustration with the unexpected behavior, using phrases like 'very strange' and 'stuck somewhere'.","While not blocking critical work, the issue prevents the user from accessing and utilizing the extracted asset, impacting their workflow and requiring timely resolution."
TICKET-272,How to measure adoption and generate reports?,How-to,Curious,P1,success,The user is asking for specific instructions on how to generate reports within Atlan.,"The user's tone is neutral and inquisitive, seeking information rather than expressing frustration or anger.","While important for the user, this request is not blocking their work and can be addressed within standard support timelines."
TICKET-273,Best practices for catalog hygiene,Best practices,Curious,P2,success,The user is explicitly asking for best practices regarding catalog hygiene.,The user expresses a concern but not frustration or anger. Their tone is inquisitive.,"This is a general question about best practices, not an urgent issue blocking work."
TICKET-274,How to scale Atlan across multiple business units?,Best practices,Curious,P1,success,"The ticket asks for advice on structuring Atlan for multiple business units, indicating a need for best practices guidance.","The user is seeking information and exploring options, demonstrating a curious tone.","While not critical, the question relates to a significant implementation decision and requires timely support to ensure a successful global rollout."
